"No.","Time","Source","Destination","Protocol","Length","Info"
"69","0.075684712","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"70","0.076641118","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"71","0.077008716","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"72","0.078336459","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"73","0.079630486","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"74","0.081080506","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"75","0.082286729","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"76","0.083618351","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"77","0.084934264","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"78","0.086301066","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"79","0.087377565","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"80","0.087608948","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"81","0.088955202","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"82","0.090264061","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"83","0.091686559","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"84","0.092129819","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"85","0.092926429","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"86","0.094250936","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"87","0.095577527","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"88","0.096988103","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"89","0.097933993","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"90","0.098227831","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"91","0.099559935","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"92","0.100975436","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"93","0.102210519","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"94","0.103620034","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"95","0.104960899","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"96","0.106192386","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"97","0.107603803","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"98","0.108694433","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"99","0.108858087","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"100","0.110125187","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"101","0.111449385","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"102","0.112830745","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"103","0.113292305","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"104","0.114153763","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"105","0.115556084","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"106","0.116900665","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"107","0.118136202","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"108","0.119541264","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"109","0.119606358","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"110","0.120790114","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"111","0.122116942","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"112","0.123526469","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"113","0.124863569","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"114","0.126099078","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"115","0.127449920","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"116","0.128833858","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"117","0.129920857","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"118","0.130079628","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"119","0.131495192","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"120","0.132809447","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"121","0.134033680","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"122","0.134594303","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"123","0.135389930","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"124","0.136811453","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"125","0.138056584","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"126","0.139381366","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"127","0.140698144","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"128","0.140878827","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"129","0.142019637","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"130","0.143353165","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"131","0.144682579","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"132","0.146016905","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"133","0.147333588","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"134","0.148672796","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"135","0.149998593","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"136","0.151331958","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"137","0.151570750","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"138","0.152649654","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"139","0.153976650","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"140","0.155306688","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"141","0.155833195","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"142","0.156626974","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"143","0.157955881","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"144","0.159280619","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"145","0.160693927","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"146","0.161935896","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"147","0.162154865","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"148","0.163278506","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"149","0.164683613","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"150","0.165912606","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
