"No.","Time","Source","Destination","Protocol","Length","Info"
"69","0.076190253","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"70","0.076769317","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"71","0.077510785","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"72","0.078841892","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"73","0.080173636","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"74","0.081493549","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"75","0.082819879","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"76","0.084149123","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"77","0.085471664","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"78","0.085501026","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"79","0.086791599","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"80","0.088128994","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"81","0.089459442","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"82","0.090782318","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"83","0.092115792","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"84","0.093437216","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"85","0.094770105","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"86","0.096101006","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"87","0.096101089","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"88","0.097421575","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"89","0.098020918","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"90","0.098744407","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"91","0.100074268","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"92","0.101409742","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"93","0.102739130","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"94","0.104059459","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"95","0.105395059","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"96","0.106705225","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"97","0.106767435","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"98","0.108083777","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"99","0.109336628","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"100","0.110711935","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"101","0.112019407","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"102","0.113365629","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"103","0.114692643","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"104","0.115964444","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"105","0.117356912","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"106","0.117387490","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"107","0.118678380","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"108","0.119326113","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"109","0.120006778","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"110","0.121315332","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"111","0.122636557","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"112","0.123970405","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"113","0.125329288","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"114","0.126650753","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"115","0.127976917","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"116","0.127976999","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"117","0.129309479","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"118","0.130632502","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"119","0.131893148","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"120","0.133292587","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"121","0.134618509","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"122","0.135933740","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"123","0.137272905","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"124","0.138603110","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"125","0.138706288","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"126","0.139853029","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"127","0.140579920","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"128","0.141256085","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"129","0.142578603","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"130","0.143871402","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"131","0.145235762","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"132","0.146559998","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"133","0.147854206","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"134","0.149208268","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"135","0.149208362","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"136","0.150540219","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"137","0.151798913","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"138","0.153186319","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"139","0.154603087","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"140","0.155797870","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"141","0.157168349","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"142","0.158588060","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"143","0.159760667","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"144","0.159969811","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"145","0.161148227","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"146","0.161461565","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"147","0.162473889","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"148","0.163768890","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"149","0.165214745","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"150","0.166525392","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"151","0.167775059","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"152","0.169198419","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"153","0.170434101","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"154","0.170504574","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
"155","0.171754083","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"156","0.173072285","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"157","0.174380882","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"158","0.175788075","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"159","0.177084308","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"160","0.178410880","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"161","0.179770214","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"162","0.181050512","192.168.2.201","255.255.255.255","UDP","1248","2368  >  2368 Len=1206"
"163","0.181232075","192.168.2.201","255.255.255.255","UDP","554","8308  >  8308 Len=512"
